Model,date,type,N,license,exclusion
fblgit/una-cybertron-7b-v2-bf16,2024-06-30,chat_finetuned,7.242,apache-2.0,
fhai50032/RolePlayLake-7B,2025-01-17,chat_finetuned,7.242,apache-2.0,
fhai50032/Unaligned-Thinker-PHI-4,2025-01-17,chat_finetuned,14.66,apache-2.0,
flammenai/Llama3.1-Flammades-70B,2024-10-13,chat_finetuned,70.554,llama3.1,
flammenai/Mahou-1.2a-llama3-8B,2024-09-03,chat_finetuned,8.03,llama3,
flammenai/Mahou-1.2a-mistral-7B,2024-09-03,chat_finetuned,7.242,apache-2.0,
flammenai/Mahou-1.5-llama3.1-70B,2024-10-14,chat_finetuned,70.554,llama3.1,
flammenai/Mahou-1.5-mistral-nemo-12B,2024-10-07,chat_finetuned,12.248,apache-2.0,
flammenai/flammen15-gutenberg-DPO-v1-7B,2024-07-10,chat_finetuned,7.242,apache-2.0,
fluently-lm/FluentlyLM-Prinum,2025-02-16,chat_finetuned,32.764,mit,
fluently-lm/Llama-TI-8B,2024-12-07,chat_finetuned,8.03,apache-2.0,
fluently-lm/Llama-TI-8B-Instruct,2025-01-16,chat_finetuned,8.03,apache-2.0,
fluently-sets/FalconThink3-10B-IT,2024-12-29,chat_finetuned,10.306,apache-2.0,
fluently-sets/reasoning-1-1k-demo,2024-12-21,chat_finetuned,14.77,apache-2.0,
formulae/mita-elite-sce-gen1.1-v1-7b-2-26-2025-exp,2025-02-25,merge,7.616,,license_unverified;
formulae/mita-elite-v1.1-7b-2-25-2025,2025-02-25,merge,7.616,,license_unverified;
formulae/mita-elite-v1.1-gen2-7b-2-25-2025,2025-02-25,merge,7.616,,license_unverified;
formulae/mita-elite-v1.2-7b-2-26-2025,2025-02-25,merge,7.616,,license_unverified;
formulae/mita-gen3-7b-2-26-2025,2025-02-25,merge,7.616,,license_unverified;
formulae/mita-gen3-v1.2-7b-2-26-2025,2025-02-25,merge,7.616,,license_unverified;
formulae/mita-math-v2.3-2-25-2025,2025-02-25,merge,7.616,,license_unverified;
formulae/mita-v1-7b,2025-02-24,merge,7.616,,license_unverified;
formulae/mita-v1.1-7b-2-24-2025,2025-02-24,merge,7.616,,license_unverified;
formulae/mita-v1.2-7b-2-24-2025,2025-02-24,merge,7.616,,license_unverified;
frameai/Loxa-4B,2025-01-14,pretrained,4.018,,license_unverified;
freewheelin/free-evo-qwen72b-v0.8-re,2024-09-15,chat_finetuned,72.288,mit,
freewheelin/free-solar-evo-v0.1,2024-08-07,chat_finetuned,10.732,mit,
freewheelin/free-solar-evo-v0.11,2024-08-07,chat_finetuned,10.732,mit,
freewheelin/free-solar-evo-v0.13,2024-08-07,chat_finetuned,10.732,mit,
fulim/FineLlama-3.1-8B,2024-12-15,chat_finetuned,8.0,apache-2.0,
gabrielmbmb/SmolLM-1.7B-Instruct-IFEval,2024-10-11,chat_finetuned,1.711,,license_unverified;
gaverfraxz/Meta-Llama-3.1-8B-Instruct-HalfAbliterated-DELLA,2024-09-23,merge,8.03,llama3.1,
gaverfraxz/Meta-Llama-3.1-8B-Instruct-HalfAbliterated-TIES,2024-09-19,merge,8.03,llama3.1,
gbueno86/Brinebreath-Llama-3.1-70B,2024-08-29,merge,70.554,llama3.1,
gbueno86/Meta-LLama-3-Cat-Smaug-LLama-70b,2024-06-27,merge,70.554,llama3,
ghost-x/ghost-8b-beta-1608,2024-09-17,chat_finetuned,8.03,other,license_unverified;
glaiveai/Reflection-Llama-3.1-70B,2024-10-07,chat_finetuned,69.5,,license_unverified;
gmonsoon/SahabatAI-Llama-11B-Test,2024-11-23,merge,11.52,llama3,
gmonsoon/SahabatAI-MediChatIndo-8B-v1,2024-11-19,chat_finetuned,8.03,llama3,
gmonsoon/SahabatAI-Rebase-8B-Test,2024-11-23,chat_finetuned,8.03,,license_unverified;
gmonsoon/StockSeaLLMs-7B-v1,2024-11-20,chat_finetuned,7.616,,license_unverified;
gmonsoon/gemma2-9b-sahabatai-v1-instruct-BaseTIES,2024-11-17,merge,9.242,gemma,
godlikehhd/alpaca_data_full_2,2025-01-14,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_full_3B,2025-01-16,chat_finetuned,3.086,apache-2.0,
godlikehhd/alpaca_data_ifd_max_2600,2025-01-14,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_ifd_max_2600_3B,2025-01-16,chat_finetuned,3.086,apache-2.0,
godlikehhd/alpaca_data_ifd_me_max_5200,2025-01-09,chat_finetuned,1.544,,license_unverified;
godlikehhd/alpaca_data_ifd_min_2600,2025-01-15,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_ins_ans_max_5200,2025-01-09,chat_finetuned,1.544,,license_unverified;
godlikehhd/alpaca_data_ins_max_5200,2025-01-09,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_ins_min_2600,2025-01-14,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_ins_min_5200,2025-01-09,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_sampled_ifd_5200,2025-01-09,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_sampled_ifd_new_5200,2025-01-09,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_score_max_0.1_2600,2025-01-14,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_score_max_0.3_2600,2025-01-15,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_score_max_0.7_2600,2025-01-14,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_score_max_2500,2025-01-13,chat_finetuned,1.544,apache-2.0,
godlikehhd/alpaca_data_score_max_2600_3B,2025-01-15,chat_finetuned,3.086,apache-2.0,
godlikehhd/alpaca_data_score_max_5200,2025-01-10,chat_finetuned,1.544,apache-2.0,
godlikehhd/ifd_2500_qwen,2024-12-31,chat_finetuned,1.544,,license_unverified;
godlikehhd/ifd_new_correct_all_sample_2500_qwen,2024-12-31,chat_finetuned,1.544,,license_unverified;
godlikehhd/ifd_new_correct_sample_2500_qwen,2024-12-31,chat_finetuned,1.544,,license_unverified;
godlikehhd/ifd_new_qwen_2500,2024-12-31,chat_finetuned,1.544,,license_unverified;
godlikehhd/qwen-2.5-1.5b-cherry,2024-12-29,chat_finetuned,0.772,,license_unverified;
godlikehhd/qwen_2.5-1.5b-cherry_new,2024-12-29,chat_finetuned,1.544,,license_unverified;
godlikehhd/qwen_full_data_alpaca,2024-12-29,chat_finetuned,1.544,,license_unverified;
godlikehhd/qwen_ins_ans_2500,2024-12-29,chat_finetuned,1.544,,license_unverified;
google/codegemma-1.1-2b,2024-08-12,pretrained,2.506,gemma,
google/flan-t5-base,2024-08-14,pretrained,0.248,apache-2.0,
google/flan-t5-large,2024-08-14,pretrained,0.783,apache-2.0,
google/flan-t5-small,2024-06-27,pretrained,0.077,apache-2.0,
google/flan-t5-xl,2024-08-07,pretrained,2.85,apache-2.0,
google/flan-t5-xl,2024-08-07,pretrained,2.85,apache-2.0,
google/flan-t5-xxl,2024-09-06,chat_finetuned,11.267,apache-2.0,
google/flan-ul2,2024-08-07,pretrained,19.46,apache-2.0,
google/gemma-1.1-2b-it,2024-06-12,chat_finetuned,2.506,gemma,
google/gemma-1.1-7b-it,2024-06-12,chat_finetuned,8.538,gemma,
google/gemma-2-27b,2024-08-24,pretrained,27.227,gemma,
google/gemma-2-27b-it,2024-08-07,chat_finetuned,27.227,gemma,
google/gemma-2-2b,2024-07-31,pretrained,2.614,gemma,
google/gemma-2-2b,2024-07-31,pretrained,2.614,gemma,
google/gemma-2-2b-it,2024-07-31,chat_finetuned,2.614,gemma,
google/gemma-2-2b-jpn-it,2024-10-11,pretrained,2.614,gemma,
google/gemma-2-2b-jpn-it,2024-10-14,chat_finetuned,2.614,gemma,
google/gemma-2-9b,2024-07-11,pretrained,9.0,gemma,
google/gemma-2-9b-it,2024-07-11,chat_finetuned,9.0,gemma,
google/gemma-2b,2024-06-12,pretrained,2.506,gemma,
google/gemma-2b-it,2024-06-12,chat_finetuned,2.506,gemma,
google/gemma-7b,2024-06-08,pretrained,8.538,gemma,
google/gemma-7b-it,2024-06-12,chat_finetuned,8.538,gemma,
google/mt5-base,2024-09-06,chat_finetuned,0.39,apache-2.0,
google/mt5-small,2024-09-06,chat_finetuned,0.17,apache-2.0,
google/mt5-xl,2024-09-06,chat_finetuned,3.23,apache-2.0,
google/mt5-xxl,2024-09-06,chat_finetuned,11.9,apache-2.0,
google/recurrentgemma-2b,2024-06-13,pretrained,2.683,gemma,
google/recurrentgemma-2b-it,2024-06-12,chat_finetuned,2.683,gemma,
google/recurrentgemma-9b,2024-07-04,pretrained,9.0,gemma,
google/recurrentgemma-9b-it,2024-07-05,chat_finetuned,9.0,gemma,
google/switch-base-8,2024-09-06,chat_finetuned,0.62,apache-2.0,
google/umt5-base,2024-09-06,chat_finetuned,,apache-2.0,invalid_N;
goulue5/merging_LLM,2024-11-22,merge,1.544,,license_unverified;
gpt2,2024-06-26,pretrained,0.137,mit,
gpt2,2024-06-26,pretrained,0.137,mit,
gradientai/Llama-3-8B-Instruct-Gradient-1048k,2024-06-12,chat_finetuned,8.03,llama3,
grimjim/DeepSauerHuatuoSkywork-R1-o1-Llama-3.1-8B,2025-01-30,merge,8.03,llama3.1,
grimjim/Gigantes-v1-gemma2-9b-it,2024-12-28,merge,9.242,gemma,
grimjim/Gigantes-v2-gemma2-9b-it,2024-12-29,merge,9.242,gemma,
grimjim/Gigantes-v3-gemma2-9b-it,2024-12-29,merge,9.242,gemma,
grimjim/HuatuoSkywork-o1-Llama-3.1-8B,2025-01-03,merge,8.03,llama3.1,
grimjim/Llama-3-Instruct-8B-SPPO-Iter3-SimPO-merge,2024-06-29,merge,8.03,llama3,
grimjim/Llama-3-Instruct-8B-SimPO-SPPO-Iter3-merge,2024-09-17,merge,8.0,llama3,
grimjim/Llama-3.1-8B-Instruct-abliterated_via_adapter,2024-09-17,chat_finetuned,8.03,llama3.1,
grimjim/Llama-3.1-Bonsaikraft-8B-Instruct,2025-01-25,merge,8.03,llama3.1,
grimjim/Llama-Nephilim-Metamorphosis-v2-8B,2025-01-02,merge,8.03,llama3.1,
grimjim/Llama3.1-SuperNovaLite-HuatuoSkywork-o1-8B,2025-01-07,merge,8.03,llama3.1,
grimjim/Magnolia-v1-Gemma2-8k-9B,2024-12-30,merge,9.242,gemma,
grimjim/Magnolia-v2-12B,2024-12-30,merge,12.248,apache-2.0,
grimjim/Magnolia-v2-Gemma2-8k-9B,2024-12-29,merge,9.242,gemma,
grimjim/Magnolia-v3-12B,2024-12-28,merge,12.248,apache-2.0,
grimjim/Magnolia-v3-Gemma2-8k-9B,2024-12-30,merge,9.242,gemma,
grimjim/Magnolia-v4-12B,2025-02-21,merge,12.248,apache-2.0,
grimjim/Magnolia-v5a-12B,2025-02-21,merge,12.248,apache-2.0,
grimjim/Magot-v1-Gemma2-8k-9B,2024-09-19,merge,9.242,gemma,
grimjim/Magot-v2-Gemma2-8k-9B,2024-12-30,merge,9.242,gemma,
grimjim/SauerHuatuoSkywork-o1-Llama-3.1-8B,2025-01-27,merge,8.03,llama3.1,
grimjim/llama-3-Nephilim-v1-8B,2024-06-26,merge,8.03,cc-by-nc-4.0,
grimjim/llama-3-Nephilim-v2-8B,2024-09-18,merge,8.03,cc-by-nc-4.0,
grimjim/llama-3-Nephilim-v2.1-8B,2024-09-18,merge,8.03,cc-by-nc-4.0,
grimjim/llama-3-Nephilim-v3-8B,2024-08-26,merge,8.03,cc-by-nc-4.0,
gupta-tanish/llama-7b-dpo-baseline,2024-09-29,chat_finetuned,6.738,apache-2.0,
gz987/qwen2.5-7b-cabs-v0.1,2025-02-18,merge,7.616,mit,
gz987/qwen2.5-7b-cabs-v0.2,2025-02-18,merge,7.616,mit,
gz987/qwen2.5-7b-cabs-v0.3,2025-02-18,merge,7.616,mit,
gz987/qwen2.5-7b-cabs-v0.4,2025-02-18,merge,7.616,mit,
h2oai/h2o-danube-1.8b-chat,2025-03-05,chat_finetuned,1.831,apache-2.0,
h2oai/h2o-danube3-4b-base,2024-08-10,continued,3.962,apache-2.0,
h2oai/h2o-danube3-4b-chat,2024-07-15,chat_finetuned,3.962,apache-2.0,
h2oai/h2o-danube3-500m-chat,2024-10-11,chat_finetuned,0.514,apache-2.0,
h2oai/h2o-danube3.1-4b-chat,2024-11-29,chat_finetuned,3.962,apache-2.0,
haoranxu/ALMA-13B-R,2024-10-01,chat_finetuned,13.0,mit,
haoranxu/Llama-3-Instruct-8B-CPO-SimPO,2024-07-28,chat_finetuned,8.03,mit,
haoranxu/Llama-3-Instruct-8B-SimPO,2024-07-28,chat_finetuned,8.03,llama3,
hatemmahmoud/qwen2.5-1.5b-sft-raft-grpo-hra-doc,2025-03-12,chat_finetuned,1.544,,license_unverified;
hon9kon9ize/CantoneseLLMChat-v0.5,2024-07-07,continued,6.069,apache-2.0,
hon9kon9ize/CantoneseLLMChat-v1.0-7B,2024-10-10,chat_finetuned,7.616,other,license_unverified;
hongbai12/li-0.4-pre,2025-03-05,merge,14.77,,license_unverified;
hotmailuser/Deepseek-qwen-modelstock-2B,2025-01-26,merge,1.777,mit,
hotmailuser/Falcon3Slerp1-10B,2024-12-23,merge,10.306,other,license_unverified;
hotmailuser/Falcon3Slerp2-10B,2024-12-23,merge,10.306,other,license_unverified;
hotmailuser/Falcon3Slerp4-10B,2024-12-23,merge,10.306,other,license_unverified;
hotmailuser/FalconSlerp-3B,2025-01-08,merge,3.228,apache-2.0,
hotmailuser/FalconSlerp1-7B,2024-12-23,merge,7.456,other,license_unverified;
hotmailuser/FalconSlerp2-7B,2024-12-23,merge,7.456,other,license_unverified;
hotmailuser/FalconSlerp3-10B,2024-12-23,merge,10.306,other,license_unverified;
hotmailuser/FalconSlerp3-7B,2024-12-23,merge,7.456,other,license_unverified;
hotmailuser/FalconSlerp4-7B,2025-01-08,merge,7.456,,license_unverified;
hotmailuser/FalconSlerp6-7B,2025-01-26,merge,7.456,other,license_unverified;
hotmailuser/Gemma2Crono-27B,2024-12-02,merge,27.227,apache-2.0,
hotmailuser/Gemma2SimPO-27B,2024-12-01,merge,27.227,,license_unverified;
hotmailuser/Gemma2atlas-27B,2024-12-01,merge,27.227,apache-2.0,
hotmailuser/Gemma2magnum-27b,2024-12-02,merge,27.227,,license_unverified;
hotmailuser/Llama-Hermes-slerp-8B,2024-12-23,merge,8.03,apache-2.0,
hotmailuser/Llama-Hermes-slerp2-8B,2024-12-23,merge,8.03,apache-2.0,
hotmailuser/LlamaStock-8B,2025-01-08,merge,8.03,apache-2.0,
hotmailuser/Mistral-modelstock-24B,2025-02-13,merge,23.572,apache-2.0,
hotmailuser/Mistral-modelstock2-24B,2025-02-13,merge,23.572,apache-2.0,
hotmailuser/Phi4-Slerp4-14B,2025-01-26,merge,14.66,,license_unverified;
hotmailuser/Qwen2.5-HomerSlerp-7B,2024-12-07,merge,7.616,apache-2.0,
hotmailuser/QwenModelStock-1.8B,2025-01-08,merge,1.777,apache-2.0,
hotmailuser/QwenSlerp-14B,2025-01-08,merge,14.766,apache-2.0,
hotmailuser/QwenSlerp-3B,2025-01-08,merge,3.397,apache-2.0,
hotmailuser/QwenSlerp-7B,2024-12-23,merge,7.616,apache-2.0,
hotmailuser/QwenSlerp2-14B,2025-01-08,merge,14.766,apache-2.0,
hotmailuser/QwenSlerp2-3B,2025-01-08,merge,3.397,apache-2.0,
hotmailuser/QwenSlerp3-14B,2025-01-08,merge,14.766,apache-2.0,
hotmailuser/QwenSparse-7B,2025-01-08,merge,7.616,apache-2.0,
hotmailuser/QwenStock-0.5B,2025-01-08,merge,0.63,apache-2.0,
hotmailuser/QwenStock-1.7B,2025-01-08,merge,1.777,apache-2.0,
hotmailuser/QwenStock1-14B,2025-01-08,merge,14.766,apache-2.0,
hotmailuser/RombosBeagle-v2beta-MGS-32B,2024-12-23,merge,32.764,apache-2.0,
huggyllama/llama-13b,2024-07-04,chat_finetuned,13.016,other,license_unverified;
huggyllama/llama-65b,2024-06-26,pretrained,65.286,other,license_unverified;
huggyllama/llama-7b,2024-07-04,chat_finetuned,6.738,other,license_unverified;
huihui-ai/DeepSeek-R1-Distill-Qwen-14B-abliterated-v2,2025-01-29,chat_finetuned,14.77,,license_unverified;
huihui-ai/QwQ-32B-Coder-Fusion-7030,2025-01-03,merge,32.764,apache-2.0,
huihui-ai/QwQ-32B-Coder-Fusion-8020,2025-01-03,merge,32.764,apache-2.0,
huihui-ai/QwQ-32B-Coder-Fusion-9010,2024-12-07,merge,32.764,apache-2.0,
huihui-ai/Qwen2.5-14B-Instruct-abliterated-v2,2024-12-07,chat_finetuned,14.77,apache-2.0,
huihui-ai/Qwen2.5-72B-Instruct-abliterated,2024-12-07,chat_finetuned,72.706,other,license_unverified;
huihui-ai/Qwen2.5-7B-Instruct-abliterated,2024-09-24,chat_finetuned,7.616,apache-2.0,
huihui-ai/Qwen2.5-7B-Instruct-abliterated-v2,2024-09-24,chat_finetuned,7.616,apache-2.0,
huu-ontocord/wide_3b_orpo_stage1.1-ss1-orpo3,2025-03-03,pretrained,3.759,,license_unverified;
iFaz/llama31_8B_en_emo_v4,2025-02-28,chat_finetuned,4.777,,license_unverified;
iFaz/llama32_1B_en_emo_v1,2025-01-14,chat_finetuned,0.765,apache-2.0,
iFaz/llama32_3B_en_emo_1000_stp,2025-03-08,chat_finetuned,1.848,apache-2.0,
iFaz/llama32_3B_en_emo_2000_stp,2025-03-07,chat_finetuned,1.848,apache-2.0,
iFaz/llama32_3B_en_emo_300_stp,2025-03-07,chat_finetuned,1.848,apache-2.0,
iFaz/llama32_3B_en_emo_5000_stp,2025-03-08,chat_finetuned,1.848,apache-2.0,
iFaz/llama32_3B_en_emo_v2,2024-12-26,chat_finetuned,1.848,apache-2.0,
iFaz/llama32_3B_en_emo_v3,2025-02-28,chat_finetuned,1.848,apache-2.0,
iRyanBell/ARC1,2024-06-26,chat_finetuned,8.03,llama3,
iRyanBell/ARC1-II,2024-06-26,chat_finetuned,8.03,llama3,
ibivibiv/colossus_120b,2024-06-27,chat_finetuned,117.749,apache-2.0,
ibivibiv/multimaster-7b-v6,2024-06-28,chat_finetuned,35.428,apache-2.0,
ibm/PowerLM-3b,2025-01-07,pretrained,3.512,apache-2.0,
ibm/merlinite-7b,2024-06-09,chat_finetuned,7.242,apache-2.0,
ibm-granite/granite-3.0-1b-a400m-base,,pretrained,1.335,apache-2.0,missing_submission_date;
ibm-granite/granite-3.0-1b-a400m-instruct,,chat_finetuned,1.335,apache-2.0,missing_submission_date;
ibm-granite/granite-3.0-2b-base,,pretrained,2.634,apache-2.0,missing_submission_date;
ibm-granite/granite-3.0-2b-instruct,,chat_finetuned,2.634,apache-2.0,missing_submission_date;
ibm-granite/granite-3.0-3b-a800m-base,,pretrained,3.374,apache-2.0,missing_submission_date;
ibm-granite/granite-3.0-3b-a800m-instruct,2024-10-20,chat_finetuned,3.374,apache-2.0,
ibm-granite/granite-3.0-8b-base,2024-10-20,pretrained,8.171,apache-2.0,
ibm-granite/granite-3.0-8b-instruct,2024-10-20,chat_finetuned,8.171,apache-2.0,
ibm-granite/granite-3.1-1b-a400m-base,2024-12-16,pretrained,1.335,apache-2.0,
ibm-granite/granite-3.1-1b-a400m-instruct,2024-12-16,chat_finetuned,1.335,apache-2.0,
ibm-granite/granite-3.1-2b-base,2024-12-16,pretrained,2.534,apache-2.0,
ibm-granite/granite-3.1-2b-instruct,2024-12-16,chat_finetuned,2.534,apache-2.0,
ibm-granite/granite-3.1-3b-a800m-base,2024-12-16,pretrained,3.299,apache-2.0,
ibm-granite/granite-3.1-3b-a800m-instruct,2024-12-16,chat_finetuned,3.299,apache-2.0,
ibm-granite/granite-3.1-8b-base,2024-12-16,pretrained,8.171,apache-2.0,
ibm-granite/granite-3.1-8b-instruct,2024-12-16,chat_finetuned,8.171,apache-2.0,
ibm-granite/granite-3.2-2b-instruct,2025-02-28,chat_finetuned,2.534,apache-2.0,
ibm-granite/granite-3.2-8b-instruct,2025-02-28,chat_finetuned,8.171,apache-2.0,
ibm-granite/granite-7b-base,2024-06-12,pretrained,6.738,apache-2.0,
ibm-granite/granite-7b-instruct,2024-10-02,chat_finetuned,6.738,apache-2.0,
icefog72/Ice0.15-02.10-RP,2024-10-02,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.16-02.10-RP,2024-10-02,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.17-03.10-RP,2024-10-03,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.27-06.11-RP,2024-11-06,merge,7.242,,license_unverified;
icefog72/Ice0.29-06.11-RP,2024-11-06,merge,7.242,,license_unverified;
icefog72/Ice0.31-08.11-RP,2024-11-08,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.32-10.11-RP,2024-11-11,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.34b-14.11-RP,2024-11-14,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.34n-14.11-RP,2024-11-14,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.37-18.11-RP,2024-11-18,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.38-19.11-RP,2024-11-19,merge,7.242,,license_unverified;
icefog72/Ice0.39-19.11-RP,2024-11-20,merge,7.242,,license_unverified;
icefog72/Ice0.40-20.11-RP,2024-11-21,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.41-22.11-RP,2024-11-22,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.50-16.01-RP,2025-01-16,merge,7.242,,license_unverified;
icefog72/Ice0.50.1-16.01-RP,2025-01-16,merge,7.242,,license_unverified;
icefog72/Ice0.51-16.01-RP,2025-01-16,merge,7.242,,license_unverified;
icefog72/Ice0.51.1-16.01-RP,2025-01-16,merge,7.242,,license_unverified;
icefog72/Ice0.52-16.01-RP,2025-01-16,merge,7.242,,license_unverified;
icefog72/Ice0.52.1-16.01-RP,2025-01-16,merge,7.242,,license_unverified;
icefog72/Ice0.53-16.01-RP,2025-01-16,merge,7.242,,license_unverified;
icefog72/Ice0.54-17.01-RP,2025-01-17,merge,7.242,,license_unverified;
icefog72/Ice0.55-17.01-RP,2025-01-17,merge,7.242,,license_unverified;
icefog72/Ice0.57-17.01-RP,2025-01-17,merge,7.242,,license_unverified;
icefog72/Ice0.60-18.01-RP,2025-01-18,merge,7.242,,license_unverified;
icefog72/Ice0.60.1-18.01-RP,2025-01-18,merge,7.242,,license_unverified;
icefog72/Ice0.61-18.01-RP,2025-01-18,merge,7.242,,license_unverified;
icefog72/Ice0.62-18.01-RP,2025-01-18,merge,7.242,,license_unverified;
icefog72/Ice0.62.1-24.01-RP,2025-01-24,merge,7.242,,license_unverified;
icefog72/Ice0.64-24.01-RP,2025-01-24,merge,7.242,,license_unverified;
icefog72/Ice0.64.1-24.01-RP,2025-01-24,merge,7.242,,license_unverified;
icefog72/Ice0.65-25.01-RP,2025-01-25,merge,7.242,,license_unverified;
icefog72/Ice0.66-25.01-RP,2025-01-25,merge,7.242,,license_unverified;
icefog72/Ice0.67-25.01-RP,2025-01-25,merge,7.242,,license_unverified;
icefog72/Ice0.68-25.01-RP,2025-01-25,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.69-25.01-RP,2025-01-26,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.7-29.09-RP,2024-10-03,merge,7.242,,license_unverified;
icefog72/Ice0.70-25.01-RP,2025-01-26,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.70.1-01.02-RP,2025-02-01,merge,7.242,,license_unverified;
icefog72/Ice0.73-01.02-RP,2025-02-01,merge,7.242,,license_unverified;
icefog72/Ice0.74-02.02-RP,2025-02-02,merge,7.242,,license_unverified;
icefog72/Ice0.76-02.02-RP,2025-02-02,merge,7.242,,license_unverified;
icefog72/Ice0.77-02.02-RP,2025-02-05,merge,7.242,cc-by-nc-4.0,
icefog72/Ice0.78-02.02-RP,2025-02-02,merge,7.242,,license_unverified;
icefog72/Ice0.80-03.02-RP,2025-02-03,merge,7.242,,license_unverified;
icefog72/IceCocoaRP-7b,2024-06-26,merge,7.242,cc-by-nc-4.0,
icefog72/IceCoffeeRP-7b,2024-06-26,merge,7.242,cc-by-nc-4.0,
icefog72/IceDrinkByFrankensteinV3RP,2024-10-03,merge,7.242,cc-by-nc-4.0,
icefog72/IceDrinkNameGoesHereRP-7b-Model_Stock,2024-09-24,merge,7.242,cc-by-nc-4.0,
icefog72/IceDrinkNameNotFoundRP-7b-Model_Stock,2024-09-15,merge,7.242,cc-by-nc-4.0,
icefog72/IceDrunkCherryRP-7b,2024-09-24,merge,7.242,cc-by-nc-4.0,
icefog72/IceDrunkenCherryRP-7b,2024-11-25,merge,7.242,cc-by-nc-4.0,
icefog72/IceEspressoRPv2-7b,2024-09-11,merge,7.242,,license_unverified;
icefog72/IceLemonTeaRP-32k-7b,2024-07-27,merge,7.242,cc-by-nc-4.0,
icefog72/IceMartiniRP-7b,2024-09-24,chat_finetuned,7.242,cc-by-nc-4.0,
icefog72/IceNalyvkaRP-7b,2025-03-01,merge,7.242,cc-by-nc-4.0,
icefog72/IceSakeRP-7b,2024-08-22,merge,7.242,cc-by-nc-4.0,
icefog72/IceSakeV4RP-7b,2024-06-26,merge,7.242,,license_unverified;
icefog72/IceSakeV6RP-7b,2024-06-26,merge,7.242,,license_unverified;
icefog72/IceSakeV8RP-7b,2024-06-26,merge,7.242,cc-by-nc-4.0,
icefog72/IceTea21EnergyDrinkRPV13-DPOv3,2024-09-06,merge,7.242,,license_unverified;
icefog72/IceTea21EnergyDrinkRPV13-DPOv3.5,2024-09-25,merge,7.242,,license_unverified;
ifable/gemma-2-Ifable-9B,2024-09-25,chat_finetuned,9.242,gemma,
ilsp/Llama-Krikri-8B-Instruct,2025-02-10,chat_finetuned,8.202,llama3.1,
inflatebot/MN-12B-Mag-Mell-R1,2025-01-04,merge,12.248,,license_unverified;
informatiker/Qwen2-7B-Instruct-abliterated,2024-09-15,chat_finetuned,7.616,,license_unverified;
insightfactory/Llama-3.2-3B-Instruct-unsloth-bnb-4bitlora_model,2025-02-19,chat_finetuned,1.933,apache-2.0,
instruction-pretrain/InstructLM-500M,2024-06-27,pretrained,0.5,apache-2.0,
internlm/internlm2-1_8b,2024-06-12,pretrained,8.0,other,license_unverified;
internlm/internlm2-7b,,other,0.0,other,license_unverified;missing_submission_date;invalid_N;
internlm/internlm2-chat-1_8b,2024-06-12,chat_finetuned,1.889,other,license_unverified;
internlm/internlm2_5-1_8b-chat,2024-08-07,chat_finetuned,1.89,other,license_unverified;
internlm/internlm2_5-20b-chat,2024-08-12,chat_finetuned,19.86,other,license_unverified;
internlm/internlm2_5-7b-chat,2024-07-03,chat_finetuned,7.738,other,license_unverified;
intervitens/mini-magnum-12b-v1.1,2024-07-25,chat_finetuned,12.248,apache-2.0,
inumulaisk/eval_model,2025-03-06,chat_finetuned,1.777,,license_unverified;
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,2024-07-25,merge,10.732,apache-2.0,
invisietch/EtherealRainbow-v0.2-8B,2024-07-01,merge,8.03,llama3,
invisietch/EtherealRainbow-v0.3-8B,2024-07-01,merge,8.03,llama3,
invisietch/MiS-Firefly-v0.2-22B,2024-11-07,chat_finetuned,22.247,other,license_unverified;
